accession	protein_set_id	gene_name	description	localisation
tr|A0QNR2|A0QNR2_MYCS2	1854130	MSMEG_0134	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0134 PE=4 SV=1	MycoMembrane - CW
tr|A0QNR3|A0QNR3_MYCS2	1854608	MSMEG_0135	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0135 PE=4 SV=1	MycoMembrane - CW
tr|A0QNR4|A0QNR4_MYCS2	1854030	MSMEG_0136	Virulence factor Mce family protein, putative OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0136 PE=4 SV=1	MycoMembrane - CW
tr|A0QNR5|A0QNR5_MYCS2	1851551	MSMEG_0137	Virulence factor mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0137 PE=4 SV=1	MycoMembrane - CW
tr|A0QNR6|A0QNR6_MYCS2	1853817	MSMEG_0138	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0138 PE=4 SV=1	MycoMembrane - CW
tr|A0QNR7|A0QNR7_MYCS2	1852786	MSMEG_0139	Mce-family protein mce1f OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0139 PE=4 SV=1	MycoMembrane - CW
tr|A0QPJ9|A0QPJ9_MYCS2	1854441	MSMEG_0424	Hsp20/alpha crystallin family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0424 PE=3 SV=1	MycoMembrane - CW
sp|A0QPU4|MSPB_MYCS2	1853480	mspB	Porin MspB OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=mspB PE=1 SV=1	MycoMembrane - CW
tr|A0R6G4|A0R6G4_MYCS2	1854129	MSMEG_6540	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_6540 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N3|A0R4N3_MYCS2	1855036	MSMEG_5895	Virulence factor mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5895 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N4|A0R4N4_MYCS2	1853391	MSMEG_5896	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5896 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N5|A0R4N5_MYCS2	1854350	MSMEG_5897	Virulence factor mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5897 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N6|A0R4N6_MYCS2	1853713	MSMEG_5898	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5898 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N7|A0R4N7_MYCS2	1851598	MSMEG_5899	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5899 PE=4 SV=1	MycoMembrane - CW
tr|A0R4N8|A0R4N8_MYCS2	1853723	MSMEG_5900	Virulence factor Mce family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_5900 PE=4 SV=1	MycoMembrane - CW
tr|I7FLI5|I7FLI5_MYCS2	1853380	yrbE4B	Conserved hypothetical integral membrane protein Yrbe1b OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=yrbE4B PE=4 SV=1	Plasma Mb - MP
sp|A0QU34|NUOC_MYCS2	1853338	nuoC	NADH-quinone oxidoreductase subunit C OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=nuoC PE=3 SV=1	Plasma Mb - MP
sp|A0R5Z2|GLFT1_MYCS2	1852462	glfT1	Galactofuranosyltransferase GlfT1 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=glfT1 PE=1 SV=1	Plasma Mb - MP
sp|A0R628|GLFT2_MYCS2	1853704	glfT2	Galactofuranosyltransferase GlfT2 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=glfT2 PE=3 SV=1	Plasma Mb - MP
sp|A0QRI8|MENJ_MYCS2	1852465	menJ	Menaquinone reductase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=menJ PE=1 SV=1	Plasma Mb - MP
tr|A0QNG4|A0QNG4_MYCS2	1853226	MSMEG_0032	Cell cycle protein, FtsW/RodA/SpoVE family protein OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0032 PE=3 SV=1	Plasma Mb - MP
tr|A0QPM7|A0QPM7_MYCS2	1853624	MSMEG_0452	Inner membrane permease YgbN OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_0452 PE=4 SV=1	Plasma Mb - MP
sp|A0R043|PIMB_MYCS2	1852587	pimB	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=pimB PE=1 SV=1	Plasma Mb - MP
tr|A0QR72|A0QR72_MYCS2	1853580	MSMEG_1009	Cytochrome p450 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=MSMEG_1009 PE=3 SV=1	Plasma Mb - MP
sp|A0QZ40|TATA_MYCS2	1853135	tatA	Sec-independent protein translocase protein TatA OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=tatA PE=3 SV=1	Plasma Mb - MP
sp|A0R2D1|TATB_MYCS2	1853455	tatB	Sec-independent protein translocase protein TatB OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=tatB PE=3 SV=1	Plasma Mb - MP
tr|A0QZ39|A0QZ39_MYCS2	1852493	tatC	Sec-independent protein translocase protein TatC OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=tatC PE=3 SV=1	Plasma Mb - MP
tr|A0QWJ1|A0QWJ1_MYCS2	1852064	yajC	Preprotein translocase, YajC subunit OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=yajC PE=4 SV=1	Plasma Mb - MP
tr|I7FY73|I7FY73_MYCS2	1851748	lldD1	L-lactate dehydrogenase (Cytochrome) LldD1 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=lldD1 PE=3 SV=1	Plasma Mb - MP
